nohup: ignoring input
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%FedPAC%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%% 

# alg: fedrep , epochs: 100, shard_per_user: 3, limit_local_output: 0, local_rep_ep: 3 , local_only: 0, is_concept_shift: 0, dataset: cifar10  

Files already downloaded and verified
Files already downloaded and verified
fedrep
CNNCifar(
  (conv1): Conv2d(3, 64, kernel_size=(5, 5), stride=(1, 1))
  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(64, 64, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=1600, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=64, bias=True)
  (fc3): Linear(in_features=64, out_features=10, bias=True)
)
odict_keys(['conv1.weight', 'conv1.bias', 'conv2.weight', 'conv2.bias', 'fc1.weight', 'fc1.bias', 'fc2.weight', 'fc2.bias', 'fc3.weight', 'fc3.bias'])
10
['fc1.weight', 'fc1.bias', 'fc2.weight', 'fc2.bias', 'conv2.weight', 'conv2.bias', 'conv1.weight', 'conv1.bias']
['conv1.weight', 'conv1.bias', 'conv2.weight', 'conv2.bias', 'fc1.weight', 'fc1.bias', 'fc2.weight', 'fc2.bias', 'fc3.weight', 'fc3.bias']
# Params: 307842 (local), 307192 (global); Percentage 99.79 (307192/307842)
learning rate, batch size: 0.01, 10
CNNCifar(
  (conv1): Conv2d(3, 64, kernel_size=(5, 5), stride=(1, 1))
  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(64, 64, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=1600, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=64, bias=True)
  (fc3): Linear(in_features=64, out_features=10, bias=True)
)
Round   0, Train loss: 1.695, Test loss: 2.121, Test accuracy: 22.10
Round   1, Train loss: 1.117, Test loss: 1.759, Test accuracy: 36.83
Round   2, Train loss: 1.045, Test loss: 1.420, Test accuracy: 44.45
Round   3, Train loss: 0.897, Test loss: 1.374, Test accuracy: 43.23
Round   4, Train loss: 0.916, Test loss: 1.224, Test accuracy: 50.98
Round   5, Train loss: 0.879, Test loss: 1.027, Test accuracy: 58.27
Round   6, Train loss: 0.770, Test loss: 0.982, Test accuracy: 58.85
Round   7, Train loss: 0.828, Test loss: 0.934, Test accuracy: 62.72
Round   8, Train loss: 0.781, Test loss: 0.896, Test accuracy: 62.25
Round   9, Train loss: 0.820, Test loss: 0.862, Test accuracy: 63.08
Round  10, Train loss: 0.730, Test loss: 0.732, Test accuracy: 67.10
Round  11, Train loss: 0.750, Test loss: 0.723, Test accuracy: 67.68
Round  12, Train loss: 0.705, Test loss: 0.698, Test accuracy: 67.83
Round  13, Train loss: 0.691, Test loss: 0.674, Test accuracy: 69.93
Round  14, Train loss: 0.651, Test loss: 0.664, Test accuracy: 71.15
Round  15, Train loss: 0.605, Test loss: 0.662, Test accuracy: 71.13
Round  16, Train loss: 0.644, Test loss: 0.676, Test accuracy: 71.27
Round  17, Train loss: 0.604, Test loss: 0.644, Test accuracy: 71.77
Round  18, Train loss: 0.626, Test loss: 0.634, Test accuracy: 71.85
Round  19, Train loss: 0.610, Test loss: 0.623, Test accuracy: 73.10
Round  20, Train loss: 0.631, Test loss: 0.605, Test accuracy: 73.93
Round  21, Train loss: 0.669, Test loss: 0.614, Test accuracy: 73.67
Round  22, Train loss: 0.634, Test loss: 0.613, Test accuracy: 73.52
Round  23, Train loss: 0.553, Test loss: 0.603, Test accuracy: 73.60
Round  24, Train loss: 0.556, Test loss: 0.594, Test accuracy: 74.33
Round  25, Train loss: 0.607, Test loss: 0.598, Test accuracy: 74.67
Round  26, Train loss: 0.595, Test loss: 0.592, Test accuracy: 74.50
Round  27, Train loss: 0.572, Test loss: 0.589, Test accuracy: 75.10
Round  28, Train loss: 0.562, Test loss: 0.587, Test accuracy: 75.52
Round  29, Train loss: 0.559, Test loss: 0.571, Test accuracy: 76.38
Round  30, Train loss: 0.514, Test loss: 0.546, Test accuracy: 76.93
Round  31, Train loss: 0.481, Test loss: 0.545, Test accuracy: 76.62
Round  32, Train loss: 0.533, Test loss: 0.547, Test accuracy: 76.40
Round  33, Train loss: 0.586, Test loss: 0.544, Test accuracy: 76.78
Round  34, Train loss: 0.474, Test loss: 0.539, Test accuracy: 76.92
Round  35, Train loss: 0.562, Test loss: 0.532, Test accuracy: 77.37
Round  36, Train loss: 0.532, Test loss: 0.524, Test accuracy: 77.72
Round  37, Train loss: 0.537, Test loss: 0.526, Test accuracy: 77.75
Round  38, Train loss: 0.525, Test loss: 0.527, Test accuracy: 77.62
Round  39, Train loss: 0.496, Test loss: 0.520, Test accuracy: 78.47
Round  40, Train loss: 0.438, Test loss: 0.517, Test accuracy: 78.07
Round  41, Train loss: 0.426, Test loss: 0.518, Test accuracy: 77.85
Round  42, Train loss: 0.511, Test loss: 0.511, Test accuracy: 78.25
Round  43, Train loss: 0.464, Test loss: 0.515, Test accuracy: 78.40
Round  44, Train loss: 0.506, Test loss: 0.518, Test accuracy: 78.23
Round  45, Train loss: 0.472, Test loss: 0.500, Test accuracy: 78.65
Round  46, Train loss: 0.474, Test loss: 0.498, Test accuracy: 78.80
